Unnamed: 0,Stream start time,Stream URL,Stream length,Avg viewers,Peak viewers,Followers gained,Followers per hour,Views,Views per hour,Games
1,Friday 26th February 2021 18:00,https://sullygnome.com/channel/philza/stream/40767493885,419,35099,50398,19969,2852,299143,39980,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
2,Wednesday 24th February 2021 17:58,https://sullygnome.com/channel/philza/stream/40738413133,361,59227,73863,24164,4027,404124,63217,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
3,Monday 22nd February 2021 17:59,https://sullygnome.com/channel/philza/stream/40709361677,300,69608,110900,25980,5196,415481,78164,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
4,Friday 19th February 2021 17:55,https://sullygnome.com/channel/philza/stream/40663198941,229,34890,52619,15028,3757,234225,51780,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
5,Wednesday 17th February 2021 17:59,https://sullygnome.com/channel/philza/stream/41137687004,345,38883,45730,21241,3694,260999,44138,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
6,Monday 15th February 2021 18:00,https://sullygnome.com/channel/philza/stream/40603571965,359,45157,59562,25403,4233,315392,50232,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
7,Friday 12th February 2021 19:59,https://sullygnome.com/channel/philza/stream/40560344477,255,55328,110075,12323,2899,249767,53912,Terraria|Terraria|https://static-cdn.jtvnw.net/ttv-boxart/Terraria-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
8,Thursday 11th February 2021 20:59,https://sullygnome.com/channel/philza/stream/40546799629,255,29727,45700,15269,3592,186914,43979,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
9,Wednesday 10th February 2021 17:58,https://sullygnome.com/channel/philza/stream/40529598493,331,46075,125298,29870,5194,327612,55252,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
10,Monday 8th February 2021 17:49,https://sullygnome.com/channel/philza/stream/41040840092,460,39721,67037,27931,3604,363453,44628,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
11,Saturday 6th February 2021 19:19,https://sullygnome.com/channel/philza/stream/41016047772,265,10556,14764,7735,1718,0,16882,Rocket League|Rocket_League|https://static-cdn.jtvnw.net/ttv-boxart/Rocket%20League-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
12,Friday 5th February 2021 17:57,https://sullygnome.com/channel/philza/stream/41000169772,257,33205,41244,13876,3264,170469,40110,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
13,Wednesday 3rd February 2021 17:59,https://sullygnome.com/channel/philza/stream/40976690268,180,36697,40395,10891,3630,155856,44013,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
14,Monday 1st February 2021 18:00,https://sullygnome.com/channel/philza/stream/40953989260,435,33430,49254,24169,3333,311927,43024,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
1,Friday 29th January 2021 17:58,https://sullygnome.com/channel/philza/stream/40914028844,421,25088,35336,20814,2973,255297,35011,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
2,Wednesday 27th January 2021 17:53,https://sullygnome.com/channel/philza/stream/40890473836,186,71656,86054,16501,5077,255622,65299,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
3,Monday 25th January 2021 17:59,https://sullygnome.com/channel/philza/stream/40868596012,405,27390,55390,31240,4628,332844,44990,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
4,Friday 22nd January 2021 17:58,https://sullygnome.com/channel/philza/stream/40830180508,271,52306,66263,20791,4620,297752,61772,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
5,Wednesday 20th January 2021 17:59,https://sullygnome.com/channel/philza/stream/40808215356,435,38744,90209,47304,6524,542677,71314,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
6,Monday 18th January 2021 18:10,https://sullygnome.com/channel/philza/stream/40786949500,229,60389,80910,21043,5260,283994,66818,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
7,Friday 15th January 2021 17:59,https://sullygnome.com/channel/philza/stream/40750187484,300,33301,91343,17320,3464,252955,46535,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
8,Wednesday 13th January 2021 17:57,https://sullygnome.com/channel/philza/stream/40728902620,152,24163,28622,7731,2811,109734,34117,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
9,Monday 11th January 2021 17:59,https://sullygnome.com/channel/philza/stream/40707136620,195,31538,40853,12260,3772,39455,39447,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
10,Sunday 10th January 2021 19:56,https://sullygnome.com/channel/philza/stream/40697972556,198,74796,150599,32032,9152,283223,80920,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
11,Friday 8th January 2021 18:01,https://sullygnome.com/channel/philza/stream/40667827340,178,32017,69315,18018,6006,180495,52651,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
12,Wednesday 6th January 2021 18:55,https://sullygnome.com/channel/philza/stream/40641786556,154,41360,73605,28185,10249,268921,79182,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
13,Tuesday 5th January 2021 20:02,https://sullygnome.com/channel/philza/stream/40629482540,162,20008,40187,25723,9353,177340,57037,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
