Unnamed: 0,Stream start time,Stream URL,Stream length,Avg viewers,Peak viewers,Followers gained,Followers per hour,Views,Views per hour,Games
1,Saturday 27th February 2021 02:37,https://sullygnome.com/channel/sapnap/stream/40774634877,97,105478,118765,8811,5034,163996,76789,Phasmophobia|Phasmophobia|https://static-cdn.jtvnw.net/ttv-boxart/Phasmophobia-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
2,Saturday 20th February 2021 03:00,https://sullygnome.com/channel/sapnap/stream/40670724893,194,105328,120589,14812,4557,209497,64460,Monopoly Plus|Monopoly_Plus|https://static-cdn.jtvnw.net/ttv-boxart/Monopoly%20Plus-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
3,Wednesday 17th February 2021 05:23,https://sullygnome.com/channel/sapnap/stream/40626537245,81,62692,87881,8421,5614,113670,65627,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
4,Sunday 14th February 2021 02:42,https://sullygnome.com/channel/sapnap/stream/40580926749,182,52996,71036,14401,4431,145826,38798,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
5,Wednesday 10th February 2021 04:58,https://sullygnome.com/channel/sapnap/stream/40523062941,121,79145,102109,17885,7948,144667,64296,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
6,Saturday 6th February 2021 03:45,https://sullygnome.com/channel/sapnap/stream/40468534301,74,91737,108866,5793,4634,132011,88970,Gang Beasts|Gang_Beasts|https://static-cdn.jtvnw.net/ttv-boxart/Gang%20Beasts-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
1,Saturday 30th January 2021 00:21,https://sullygnome.com/channel/sapnap/stream/40372896493,98,67641,72265,3335,1905,82755,35977,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
2,Monday 11th January 2021 21:39,https://sullygnome.com/channel/sapnap/stream/40146545085,95,63481,75996,11018,6296,100337,42596,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
3,Friday 8th January 2021 22:37,https://sullygnome.com/channel/sapnap/stream/40110126269,67,63088,65719,5053,5053,56918,35587,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
4,Wednesday 6th January 2021 00:38,https://sullygnome.com/channel/sapnap/stream/40082089661,126,77139,94007,13928,6190,115912,51516,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
