Unnamed: 0,Stream start time,Stream URL,Stream length,Avg viewers,Peak viewers,Followers gained,Followers per hour,Views,Views per hour,Games
1,Saturday 27th February 2021 21:52,https://sullygnome.com/channel/sykkuno/stream/41862701502,427,27462,33020,6235,860,242525,31478,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|VALORANT|Valorant|https://static-cdn.jtvnw.net/ttv-boxart/VALORANT-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
2,Thursday 25th February 2021 20:49,https://sullygnome.com/channel/sykkuno/stream/41838012510,250,30380,37805,3086,726,186372,41298,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|VALORANT|Valorant|https://static-cdn.jtvnw.net/ttv-boxart/VALORANT-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
3,Wednesday 24th February 2021 21:55,https://sullygnome.com/channel/sykkuno/stream/41827098142,334,38981,56222,5096,886,211624,36804,VALORANT|Valorant|https://static-cdn.jtvnw.net/ttv-boxart/VALORANT-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|UNO|Uno|https://static-cdn.jtvnw.net/ttv-boxart/UNO-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
4,Tuesday 23rd February 2021 22:42,https://sullygnome.com/channel/sykkuno/stream/41816238958,332,46359,59050,7823,1422,252028,44392,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|VALORANT|Valorant|https://static-cdn.jtvnw.net/ttv-boxart/VALORANT-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
5,Monday 22nd February 2021 22:42,https://sullygnome.com/channel/sykkuno/stream/41805245102,392,29116,36914,5195,769,202406,29986,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Valheim|Valheim|https://static-cdn.jtvnw.net/ttv-boxart/Valheim-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|VALORANT|Valorant|https://static-cdn.jtvnw.net/ttv-boxart/VALORANT-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
6,Sunday 21st February 2021 22:02,https://sullygnome.com/channel/sykkuno/stream/41794183038,297,40730,48754,6175,1235,226338,41991,Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|VALORANT|Valorant|https://static-cdn.jtvnw.net/ttv-boxart/VALORANT-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
7,Friday 19th February 2021 21:00,https://sullygnome.com/channel/sykkuno/stream/41766871630,239,47966,57096,5841,1460,196097,49024,Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
8,Thursday 18th February 2021 21:58,https://sullygnome.com/channel/sykkuno/stream/41754996910,421,38325,47190,6653,950,297248,40599,Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|UNO|Uno|https://static-cdn.jtvnw.net/ttv-boxart/UNO-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
9,Wednesday 17th February 2021 23:47,https://sullygnome.com/channel/sykkuno/stream/41744142286,312,30126,34049,4202,800,163324,31109,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Stardew Valley|Stardew_Valley|https://static-cdn.jtvnw.net/ttv-boxart/Stardew%20Valley-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|VALORANT|Valorant|https://static-cdn.jtvnw.net/ttv-boxart/VALORANT-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
10,Tuesday 16th February 2021 23:35,https://sullygnome.com/channel/sykkuno/stream/41732248446,324,40493,49328,5296,962,205990,34683,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|VALORANT|Valorant|https://static-cdn.jtvnw.net/ttv-boxart/VALORANT-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
