Unnamed: 0,Stream start time,Stream URL,Stream length,Avg viewers,Peak viewers,Followers gained,Followers per hour,Views,Views per hour,Games
1,Tuesday 23rd February 2021 20:32,https://sullygnome.com/channel/wilbursoot/stream/40726373101,132,63472,78071,15006,6669,210226,80273,Phasmophobia|Phasmophobia|https://static-cdn.jtvnw.net/ttv-boxart/Phasmophobia-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
2,Monday 22nd February 2021 21:55,https://sullygnome.com/channel/wilbursoot/stream/41193878604,154,108923,149823,20438,7432,245947,89435,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
3,Monday 15th February 2021 02:03,https://sullygnome.com/channel/wilbursoot/stream/41111960908,101,71526,86524,11960,6834,186334,80265,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
4,Sunday 14th February 2021 20:30,https://sullygnome.com/channel/wilbursoot/stream/40591824541,119,88262,97400,12551,6275,201474,82219,Phasmophobia|Phasmophobia|https://static-cdn.jtvnw.net/ttv-boxart/Phasmophobia-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
5,Thursday 11th February 2021 21:10,https://sullygnome.com/channel/wilbursoot/stream/41074853420,124,102293,134017,26346,11709,369066,107249,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
6,Thursday 4th February 2021 23:25,https://sullygnome.com/channel/wilbursoot/stream/40992791212,94,109976,135622,6701,3829,184810,67493,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
1,Sunday 17th January 2021 22:16,https://sullygnome.com/channel/wilbursoot/stream/40779876204,73,55026,61119,4257,3405,68560,54848,Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
2,Thursday 14th January 2021 23:35,https://sullygnome.com/channel/wilbursoot/stream/40743477884,144,45929,48698,6253,2501,85196,27386,Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
3,Tuesday 12th January 2021 20:20,https://sullygnome.com/channel/wilbursoot/stream/40720413964,159,85369,117777,17180,6247,279698,85251,Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
4,Monday 11th January 2021 19:30,https://sullygnome.com/channel/wilbursoot/stream/40708453884,90,74114,94634,10882,6218,129299,73885,Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
