"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 25th January 2021 20:21","https://sullygnome.com/channel/jacksepticeye/stream/40870694700","203","17590","20967","6153","1758","90125","21066","VALORANT|Valorant|https://static-cdn.jtvnw.net/ttv-boxart/VALORANT-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"2","Sunday 24th January 2021 20:09","https://sullygnome.com/channel/jacksepticeye/stream/40860304988","305","19852","21370","12068","2298","136639","26026","VALORANT|Valorant|https://static-cdn.jtvnw.net/ttv-boxart/VALORANT-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"3","Thursday 21st January 2021 20:02","https://sullygnome.com/channel/jacksepticeye/stream/40820809420","192","15193","19412","4467","1374","61152","18816","HITMAN 3|Hitman_3|https://static-cdn.jtvnw.net/ttv-boxart/HITMAN%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"4","Wednesday 20th January 2021 22:16","https://sullygnome.com/channel/jacksepticeye/stream/40811713276","193","14659","21406","4573","1407","90350","27800","HITMAN 3|Hitman_3|https://static-cdn.jtvnw.net/ttv-boxart/HITMAN%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"5","Wednesday 20th January 2021 21:00","https://sullygnome.com/channel/jacksepticeye/stream/40810806012","59","17899","21406","2710","2710","49050","49050","HITMAN 3|Hitman_3|https://static-cdn.jtvnw.net/ttv-boxart/HITMAN%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"6","Tuesday 19th January 2021 22:35","https://sullygnome.com/channel/jacksepticeye/stream/40800920748","159","17825","19969","6219","2261","85775","26751","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Aim Lab|Aim_Lab|https://static-cdn.jtvnw.net/ttv-boxart/Aim%20Lab-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"7","Sunday 17th January 2021 21:51","https://sullygnome.com/channel/jacksepticeye/stream/40779627868","533","29911","41070","17727","1969","235595","25215","Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"8","Thursday 14th January 2021 22:03","https://sullygnome.com/channel/jacksepticeye/stream/40742720188","446","28656","34784","11445","1526","214131","28550","Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"9","Wednesday 13th January 2021 22:01","https://sullygnome.com/channel/jacksepticeye/stream/40732160604","433","54561","64476","20152","2779","314605","43393","Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"10","Tuesday 12th January 2021 22:42","https://sullygnome.com/channel/jacksepticeye/stream/40722073708","407","72050","89617","23894","3413","336481","46228","Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"11","Sunday 10th January 2021 23:00","https://sullygnome.com/channel/jacksepticeye/stream/40699688252","360","48260","57148","21958","3513","275512","44081","Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"12","Saturday 9th January 2021 23:18","https://sullygnome.com/channel/jacksepticeye/stream/40687399452","416","79128","90132","27985","3997","360408","51486","Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"13","Friday 8th January 2021 22:57","https://sullygnome.com/channel/jacksepticeye/stream/40673378124","377","63247","74097","29203","4492","320435","44707","Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"14","Friday 8th January 2021 00:30","https://sullygnome.com/channel/jacksepticeye/stream/40659682460","374","32699","40703","24038","3846","214967","32265","Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"15","Tuesday 5th January 2021 23:00","https://sullygnome.com/channel/jacksepticeye/stream/40631969660","239","27196","33188","13621","3405","137878","30023","Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"16","Monday 4th January 2021 23:13","https://sullygnome.com/channel/jacksepticeye/stream/40618778684","346","24482","38194","16862","2932","166782","29005","Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"17","Sunday 3rd January 2021 00:00","https://sullygnome.com/channel/jacksepticeye/stream/40591421980","240","19426","20799","8784","2066","85650","20152","Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"18","Friday 1st January 2021 22:49","https://sullygnome.com/channel/jacksepticeye/stream/40577408972","370","24810","30155","18607","2977","150826","24132","Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
