"","Game","Stream time","Total watch time","Average viewers","Peak viewers","Followers","Followers per hour","Views","Views per hour"
"1","Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","5040","130634250","27055","56554","323299","3848.797619","2333098","27774.97619"
"2","Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","4875","201942360","35352","90132","243581","2997.92","2990149","36801.833846"
"3","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2610","25730430","9281","28345","105394","2422.850574","888916","20434.850574"
"4","Fall Guys: Ultimate Knockout|Fall_Guys|https://static-cdn.jtvnw.net/ttv-boxart/./Fall%20Guys:%20Ultimate%20Knockout-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1095","9606195","8718","17470","36477","1998.739726","202270","11083.287671"
"5","Demon's Souls|Demons_Souls|https://static-cdn.jtvnw.net/ttv-boxart/Demon%27s%20Souls-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1080","12310005","11057","18182","41244","2291.333333","264719","14706.611111"
"6","VALORANT|Valorant|https://static-cdn.jtvnw.net/ttv-boxart/VALORANT-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1080","18195945","16699","22132","38152","2119.555555","436181","24232.277777"
"7","Animal Crossing: New Horizons|animal_Crossing|https://static-cdn.jtvnw.net/ttv-boxart/./Animal%20Crossing:%20New%20Horizons-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","975","7523760","7760","10378","28306","1741.907692","110234","6783.630769"
"8","Cyberpunk 2077|Cyberpunk_2077|https://static-cdn.jtvnw.net/ttv-boxart/Cyberpunk%202077-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","885","14570580","14418","25740","39037","2646.576271","310680","21063.050847"
"9","Phasmophobia|Phasmophobia|https://static-cdn.jtvnw.net/ttv-boxart/Phasmophobia-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","855","15792870","19060","29428","39855","2796.842105","265748","18648.982456"
"10","Raft|Raft|https://static-cdn.jtvnw.net/ttv-boxart/Raft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","795","12301395","15463","19823","31096","2346.867924","218349","16479.169811"
"11","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","600","9715305","16017","21860","24322","2432.2","214633","21463.3"
"12","Hades|Hades_|https://static-cdn.jtvnw.net/ttv-boxart/Hades-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","600","4577190","7982","13003","17657","1765.7","125522","12552.2"
"13","HITMAN 3|Hitman_3|https://static-cdn.jtvnw.net/ttv-boxart/HITMAN%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","435","6730620","15876","21406","9860","1360","182918","25230.068965"
"14","Bloodborne|Bloodborne|https://static-cdn.jtvnw.net/ttv-boxart/Bloodborne-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","405","3526320","8782","11146","10748","1592.296296","95960","14216.296296"
"15","Minecraft Dungeons|Minecraft_Dungeons|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft%20Dungeons-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","345","2152245","6118","8027","10721","1864.521739","43079","7492"
"16","Call of Duty: Black Ops Cold War|Call_of_Duty_2020|https://static-cdn.jtvnw.net/ttv-boxart/./Call%20of%20Duty:%20Black%20Ops%20Cold%20War-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","270","4123215","15271","19889","10197","2266","86359","19190.888888"
"17","The Dark Pictures Anthology: Little Hope|The_Dark_Pictures_anthology_Little_Hope|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Dark%20Pictures%20Anthology:%20Little%20Hope-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","270","3986715","14765","17415","8662","1924.888888","82045","18232.222222"
"18","Deep Rock Galactic|Deep_Rock_Galactic|https://static-cdn.jtvnw.net/ttv-boxart/Deep%20Rock%20Galactic-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","225","1231155","5471","7605","5624","1499.733333","33466","8924.266666"
"19","GTFO|GTFO|https://static-cdn.jtvnw.net/ttv-boxart/GTFO-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","225","729105","3233","3773","3840","1024","24328","6487.466666"
"20","Call of Duty: Warzone|Call_of_Duty_Modern_Warfare|https://static-cdn.jtvnw.net/ttv-boxart/./Call%20of%20Duty:%20Warzone-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","210","771945","3376","4877","399","114","5779","1651.142857"
