"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Saturday 30th January 2021 02:09","https://sullygnome.com/channel/karljacobs/stream/40921400444","125","100954","119419","12919","5741","174994","77775","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"2","Monday 25th January 2021 01:56","https://sullygnome.com/channel/karljacobs/stream/40863405516","93","154402","173789","11565","6608","244175","112560","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"3","Thursday 21st January 2021 03:14","https://sullygnome.com/channel/karljacobs/stream/40813975084","165","145113","160297","14233","5175","254786","77916","Jackbox Party Packs|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/Jackbox%20Party%20Packs-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"4","Monday 18th January 2021 02:55","https://sullygnome.com/channel/karljacobs/stream/40781935036","154","117898","165889","22520","8189","386458","140530","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"5","Sunday 17th January 2021 04:21","https://sullygnome.com/channel/karljacobs/stream/40212207549","128","116553","125338","10285","4571","146626","65167","Jackbox Party Packs|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/Jackbox%20Party%20Packs-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"6","Friday 15th January 2021 03:26","https://sullygnome.com/channel/karljacobs/stream/40185770445","108","73341","88634","8596","4298","113820","47226","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"7","Tuesday 12th January 2021 03:42","https://sullygnome.com/channel/karljacobs/stream/40150328781","92","81871","104552","9191","5252","127736","72992","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"8","Sunday 10th January 2021 01:21","https://sullygnome.com/channel/karljacobs/stream/40124801869","203","117623","131249","18870","5391","273878","78250","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Jackbox Party Packs|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/Jackbox%20Party%20Packs-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"9","Saturday 9th January 2021 04:54","https://sullygnome.com/channel/karljacobs/stream/40114080237","125","78304","91587","10993","4885","109497","40855","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"10","Sunday 3rd January 2021 01:08","https://sullygnome.com/channel/karljacobs/stream/40053110941","96","112184","124830","11263","6436","137995","78854","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"11","Friday 1st January 2021 01:32","https://sullygnome.com/channel/karljacobs/stream/40034931821","57","28464","31152","3150","3150","40628","23609","Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
