"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Friday 10th May 2019 23:36","https://sullygnome.com/channel/karljacobs/stream/34066636688","263","57","74","147","42","280","68","ROBLOX|ROBLOX|https://static-cdn.jtvnw.net/ttv-boxart/ROBLOX-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"2","Saturday 4th May 2019 23:01","https://sullygnome.com/channel/karljacobs/stream/33989359952","238","65","83","21","5","310","67","ROBLOX|ROBLOX|https://static-cdn.jtvnw.net/ttv-boxart/ROBLOX-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"3","Saturday 4th May 2019 00:30","https://sullygnome.com/channel/karljacobs/stream/33973433376","179","54","59","10","3","174","52","ROBLOX|ROBLOX|https://static-cdn.jtvnw.net/ttv-boxart/ROBLOX-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"4","Wednesday 1st May 2019 00:35","https://sullygnome.com/channel/karljacobs/stream/33933941760","69","46","56","13","10","146","76","ROBLOX|ROBLOX|https://static-cdn.jtvnw.net/ttv-boxart/ROBLOX-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"5","Sunday 28th April 2019 21:22","https://sullygnome.com/channel/karljacobs/stream/33906628112","202","67","82","13","3","267","71","ROBLOX|ROBLOX|https://static-cdn.jtvnw.net/ttv-boxart/ROBLOX-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"6","Saturday 27th April 2019 23:42","https://sullygnome.com/channel/karljacobs/stream/33892280656","227","62","80","16","4","220","49","ROBLOX|ROBLOX|https://static-cdn.jtvnw.net/ttv-boxart/ROBLOX-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"7","Friday 26th April 2019 23:26","https://sullygnome.com/channel/karljacobs/stream/33875564016","303","55","67","18","3","315","54","ROBLOX|ROBLOX|https://static-cdn.jtvnw.net/ttv-boxart/ROBLOX-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"8","Friday 26th April 2019 00:46","https://sullygnome.com/channel/karljacobs/stream/33862342928","178","51","69","21","7","225","64","ROBLOX|ROBLOX|https://static-cdn.jtvnw.net/ttv-boxart/ROBLOX-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"9","Saturday 20th April 2019 23:19","https://sullygnome.com/channel/karljacobs/stream/33788306496","310","62","90","42","7","508","87","ROBLOX|ROBLOX|https://static-cdn.jtvnw.net/ttv-boxart/ROBLOX-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"10","Wednesday 10th April 2019 00:41","https://sullygnome.com/channel/karljacobs/stream/33617614160","138","57","70","10","4","272","92","ROBLOX|ROBLOX|https://static-cdn.jtvnw.net/ttv-boxart/ROBLOX-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
