"","Game","Stream time","Total watch time","Average viewers","Peak viewers","Followers","Followers per hour","Views","Views per hour"
"1","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","13230","525386235","49829","243290","818009","3709.791383","7359344","33375.70975"
"2","Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1755","41051160","18961","67821","80256","2743.794871","767891","26252.68376"
"3","Jackbox Party Packs|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/Jackbox%20Party%20Packs-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1560","124816860","76820","160297","90573","3483.576923","1293139","49736.115384"
"4","Fall Guys: Ultimate Knockout|Fall_Guys|https://static-cdn.jtvnw.net/ttv-boxart/./Fall%20Guys:%20Ultimate%20Knockout-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1020","746775","649","2772","7545","443.823529","23282","1369.529411"
"5","ROBLOX|ROBLOX|https://static-cdn.jtvnw.net/ttv-boxart/ROBLOX-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","840","176340","206","568","21607","1543.357142","6471","462.214285"
"6","Phasmophobia|Phasmophobia|https://static-cdn.jtvnw.net/ttv-boxart/Phasmophobia-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","795","8124735","9142","29171","18731","1413.660377","182843","13799.471698"
"7","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","540","21146670","35812","227430","20017","2224.111111","283113","31457"
"8","Apex Legends|apex_Legends|https://static-cdn.jtvnw.net/ttv-boxart/Apex%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","390","73845","197","379","1785","274.615384","1676","257.846153"
"9","Garry's Mod|Garrys_Mod|https://static-cdn.jtvnw.net/ttv-boxart/Garry%27s%20Mod-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","180","38085","204","283","326","108.666666","2230","743.333333"
"10","Retro|Retro|https://static-cdn.jtvnw.net/ttv-boxart/Retro-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","180","45225","262","442","587","195.666666","1677","559"
"11","Five Nights at Freddy's|Five_Nights_at_Freddys|https://static-cdn.jtvnw.net/ttv-boxart/Five%20Nights%20at%20Freddy%27s-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","150","3131490","20757","37367","5430","2172","68185","27274"
"12","Mario & Sonic at the Olympic Games Tokyo 2020|Mario_and_Sonic_at_the_Tokyo_2020_olympic_Games|https://static-cdn.jtvnw.net/ttv-boxart/Mario%20&%20Sonic%20at%20the%20Olympic%20Games%20Tokyo%202020-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","120","16770","139","200","33","16.5","469","234.5"
"13","Chess|Chess|https://static-cdn.jtvnw.net/ttv-boxart/Chess-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","75","277470","3699","4106","1270","1016","13759","11007.2"
"14","Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","60","1707915","28465","31152","3150","3150","23609","23609"
"15","Halo: The Master Chief Collection|Halo_The_Master_Chief_Collection|https://static-cdn.jtvnw.net/ttv-boxart/./Halo:%20The%20Master%20Chief%20Collection-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","45","444480","9877","10546","1229","1638.666666","10179","13572"
"16","Club Penguin|Club_Penguin|https://static-cdn.jtvnw.net/ttv-boxart/Club%20Penguin-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","30","2595","86","89","12","24","270","540"
