"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Friday 29th January 2021 17:58","https://sullygnome.com/channel/philza/stream/40914028844","421","25088","35336","20814","2973","255297","35011","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"2","Wednesday 27th January 2021 17:53","https://sullygnome.com/channel/philza/stream/40890473836","186","71656","86054","16501","5077","255622","65299","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"3","Monday 25th January 2021 17:59","https://sullygnome.com/channel/philza/stream/40868596012","405","27390","55390","31240","4628","332844","44990","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"4","Friday 22nd January 2021 17:58","https://sullygnome.com/channel/philza/stream/40830180508","271","52306","66263","20791","4620","297752","61772","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"5","Wednesday 20th January 2021 17:59","https://sullygnome.com/channel/philza/stream/40808215356","435","38744","90209","47304","6524","542677","71314","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"6","Monday 18th January 2021 18:10","https://sullygnome.com/channel/philza/stream/40786949500","229","60389","80910","21043","5260","283994","66818","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"7","Friday 15th January 2021 17:59","https://sullygnome.com/channel/philza/stream/40750187484","300","33301","91343","17320","3464","252955","46535","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"8","Wednesday 13th January 2021 17:57","https://sullygnome.com/channel/philza/stream/40728902620","152","24163","28622","7731","2811","109734","34117","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"9","Monday 11th January 2021 17:59","https://sullygnome.com/channel/philza/stream/40707136620","195","31538","40853","12260","3772","39455","39447","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"10","Sunday 10th January 2021 19:56","https://sullygnome.com/channel/philza/stream/40697972556","198","74796","150599","32032","9152","283223","80920","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"11","Friday 8th January 2021 18:01","https://sullygnome.com/channel/philza/stream/40667827340","178","32017","69315","18018","6006","180495","52651","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"12","Wednesday 6th January 2021 18:55","https://sullygnome.com/channel/philza/stream/40641786556","154","41360","73605","28185","10249","268921","79182","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"13","Tuesday 5th January 2021 20:02","https://sullygnome.com/channel/philza/stream/40629482540","162","20008","40187","25723","9353","177340","57037","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"14","Monday 4th January 2021 18:00","https://sullygnome.com/channel/philza/stream/40613890236","255","15645","22072","14741","3275","105656","23479","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
