"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"101","Wednesday 8th July 2020 16:59","https://sullygnome.com/channel/philza/stream/39186601968","300","5635","6315","1032","206","27530","5256","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"102","Monday 6th July 2020 16:59","https://sullygnome.com/channel/philza/stream/39141508352","330","6379","7008","1218","221","34001","5727","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"103","Friday 3rd July 2020 17:00","https://sullygnome.com/channel/philza/stream/39076176800","314","5298","5902","1048","199","27713","4924","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"104","Wednesday 1st July 2020 16:59","https://sullygnome.com/channel/philza/stream/39037260992","405","5135","7266","1424","210","35331","5028","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"105","Monday 29th June 2020 16:56","https://sullygnome.com/channel/philza/stream/38988088240","348","4129","4543","1379","229","30515","4835","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"106","Friday 26th June 2020 16:58","https://sullygnome.com/channel/philza/stream/38918013088","241","4449","4651","678","169","21872","5468","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"107","Wednesday 24th June 2020 16:59","https://sullygnome.com/channel/philza/stream/38871141424","300","4634","7829","1388","277","31216","6243","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"108","Monday 22nd June 2020 16:20","https://sullygnome.com/channel/philza/stream/38823575680","384","4555","5423","1358","208","35353","5189","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"109","Saturday 20th June 2020 16:59","https://sullygnome.com/channel/philza/stream/38787386752","285","3900","4529","718","151","21952","4292","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"110","Friday 19th June 2020 16:59","https://sullygnome.com/channel/philza/stream/38767474240","330","3995","5173","960","174","24556","4062","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
