"","Game","Stream time","Total watch time","Average viewers","Peak viewers","Followers","Followers per hour","Views","Views per hour"
"1","Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","17700","491979360","26928","90757","731315","2479.033898","19273857","65335.108474"
"2","VALORANT|Valorant|https://static-cdn.jtvnw.net/ttv-boxart/VALORANT-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","16860","470393745","25081","112160","645913","2298.622775","17911677","63742.622775"
"3","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","12060","232397550","17599","88303","382682","1903.890547","17154809","85347.308457"
"4","Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2280","113225145","46721","138482","103687","2728.605263","3789349","99719.710526"
"5","Genshin Impact|Genshin_Impact|https://static-cdn.jtvnw.net/ttv-boxart/Genshin%20Impact-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2055","35184645","17111","27574","42011","1226.59854","2024518","59110.014598"
"6","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1470","27073860","19833","41583","51082","2084.979591","1287793","52562.979591"
"7","Animal Crossing: New Horizons|animal_Crossing|https://static-cdn.jtvnw.net/ttv-boxart/./Animal%20Crossing:%20New%20Horizons-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1125","18537690","15758","21701","18450","984","710666","37902.186666"
"8","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1050","13213395","12749","18170","18010","1029.142857","651835","37247.714285"
"9","Detroit: Become Human|Detroit_Become_Human|https://static-cdn.jtvnw.net/ttv-boxart/./Detroit:%20Become%20Human-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","930","17102940","16856","26012","22456","1448.774193","778060","50197.419354"
"10","The Last of Us|The_Last_of_Us|https://static-cdn.jtvnw.net/ttv-boxart/The%20Last%20of%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","840","14007855","16984","20909","22508","1607.714285","416387","29741.928571"
