"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Sunday 28th February 2021 04:51","https://sullygnome.com/channel/ranboolive/stream/41867953582","158","59754","68604","5359","1948","88811","32294","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"2","Friday 26th February 2021 19:37","https://sullygnome.com/channel/ranboolive/stream/41848267918","187","59718","82154","8457","2602","282287","74968","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"3","Thursday 25th February 2021 23:00","https://sullygnome.com/channel/ranboolive/stream/41839059902","149","86968","93640","6459","2583","201664","67796","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"4","Thursday 25th February 2021 02:52","https://sullygnome.com/channel/ranboolive/stream/41830857358","217","62935","76426","7377","1967","176923","43745","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"5","Wednesday 24th February 2021 03:55","https://sullygnome.com/channel/ranboolive/stream/41820428702","244","59189","73298","7590","1785","153921","33546","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"6","Monday 22nd February 2021 22:08","https://sullygnome.com/channel/ranboolive/stream/41804888590","231","71728","96645","12166","3041","273117","61646","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"7","Monday 22nd February 2021 03:58","https://sullygnome.com/channel/ranboolive/stream/41798411230","166","51975","73127","6596","2198","136804","45601","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"8","Saturday 20th February 2021 18:00","https://sullygnome.com/channel/ranboolive/stream/41778452782","719","115805","173996","42639","3553","1050601","86081","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Little Nightmares|Little_Nightmares|https://static-cdn.jtvnw.net/ttv-boxart/Little%20Nightmares-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"9","Saturday 20th February 2021 06:18","https://sullygnome.com/channel/ranboolive/stream/41774452382","116","60335","83172","4437","2218","102923","45666","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"10","Thursday 18th February 2021 23:00","https://sullygnome.com/channel/ranboolive/stream/41755717966","209","70513","77837","8086","2310","184783","52795","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"11","Wednesday 17th February 2021 23:30","https://sullygnome.com/channel/ranboolive/stream/41743938398","164","77238","85505","7804","2837","200671","65850","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"12","Tuesday 16th February 2021 22:05","https://sullygnome.com/channel/ranboolive/stream/41731216430","324","90046","119301","29082","5287","562247","95957","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"13","Monday 15th February 2021 23:43","https://sullygnome.com/channel/ranboolive/stream/41720610302","151","73422","83921","6923","2769","167718","57745","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"14","Sunday 14th February 2021 21:24","https://sullygnome.com/channel/ranboolive/stream/41706746654","125","83704","95342","6711","2982","167978","74656","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"15","Sunday 14th February 2021 02:30","https://sullygnome.com/channel/ranboolive/stream/41697439598","209","70495","103373","7536","2153","208464","48180","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"16","Saturday 13th February 2021 00:40","https://sullygnome.com/channel/ranboolive/stream/41682028958","229","53083","60471","8343","2085","164764","36828","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"17","Thursday 11th February 2021 21:03","https://sullygnome.com/channel/ranboolive/stream/40546846605","326","64320","77230","17923","3258","430397","78254","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"18","Wednesday 10th February 2021 22:52","https://sullygnome.com/channel/ranboolive/stream/41656242926","277","50954","59836","9923","2089","266856","52425","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"19","Tuesday 9th February 2021 22:25","https://sullygnome.com/channel/ranboolive/stream/41643954654","169","66001","79721","8073","2691","177928","50490","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"20","Tuesday 9th February 2021 01:55","https://sullygnome.com/channel/ranboolive/stream/41635288254","214","62273","85833","8781","2341","186353","46260","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"21","Sunday 7th February 2021 22:13","https://sullygnome.com/channel/ranboolive/stream/41621710862","346","43714","57319","10181","1770","207764","36132","Portal 2|Portal_2|https://static-cdn.jtvnw.net/ttv-boxart/Portal%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"22","Saturday 6th February 2021 20:15","https://sullygnome.com/channel/ranboolive/stream/41606877022","255","112113","151478","15765","3503","321410","71424","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"23","Friday 5th February 2021 20:04","https://sullygnome.com/channel/ranboolive/stream/41593086654","250","39692","59439","10187","2396","200047","47069","Fortnite|Fortnite|https://static-cdn.jtvnw.net/ttv-boxart/Fortnite-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"24","Friday 5th February 2021 01:16","https://sullygnome.com/channel/ranboolive/stream/41584643246","148","72066","81474","6840","2736","146974","52746","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"25","Thursday 4th February 2021 03:12","https://sullygnome.com/channel/ranboolive/stream/41574619358","197","64505","103138","11259","3216","196598","56170","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"26","Wednesday 3rd February 2021 00:34","https://sullygnome.com/channel/ranboolive/stream/41560833758","115","51984","54680","3578","1789","68201","34100","Superliminal|Superliminal|https://static-cdn.jtvnw.net/ttv-boxart/Superliminal-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"27","Tuesday 2nd February 2021 05:03","https://sullygnome.com/channel/ranboolive/stream/41553561550","221","58611","82479","9693","2584","130444","31373","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
