"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"101","Saturday 29th June 2019 20:24","https://sullygnome.com/channel/sykkuno/stream/34719099072","170","139","162","0","0","509","146","Teamfight Tactics|Teamfight_Tactics|https://static-cdn.jtvnw.net/ttv-boxart/Teamfight%20Tactics-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"102","Friday 7th June 2019 22:02","https://sullygnome.com/channel/sykkuno/stream/34444022912","522","340","977","204","24","4782","541","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Auto Chess|auto_Chess|https://static-cdn.jtvnw.net/ttv-boxart/Auto%20Chess-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"103","Tuesday 4th June 2019 21:28","https://sullygnome.com/channel/sykkuno/stream/34406290624","466","357","1477","772","96","5549","693","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"104","Monday 3rd June 2019 01:32","https://sullygnome.com/channel/sykkuno/stream/34384238144","252","218","258","69","16","1046","234","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"105","Friday 31st May 2019 22:13","https://sullygnome.com/channel/sykkuno/stream/34353935728","406","176","307","57","8","1153","164","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"106","Wednesday 29th May 2019 22:54","https://sullygnome.com/channel/sykkuno/stream/34326877136","350","190","312","199","34","1378","227","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"107","Sunday 26th May 2019 21:57","https://sullygnome.com/channel/sykkuno/stream/34284051456","362","188","232","68","10","1119","179","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"108","Friday 24th May 2019 22:04","https://sullygnome.com/channel/sykkuno/stream/34252333584","385","164","199","64","9","1048","153","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"109","Wednesday 22nd May 2019 22:05","https://sullygnome.com/channel/sykkuno/stream/34225509696","339","187","223","126","21","1215","199","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"110","Monday 20th May 2019 21:07","https://sullygnome.com/channel/sykkuno/stream/34199788480","352","202","239","93","15","1179","196","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"111","Friday 17th May 2019 23:57","https://sullygnome.com/channel/sykkuno/stream/34158306400","182","133","154","20","7","455","141","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"112","Thursday 16th May 2019 23:18","https://sullygnome.com/channel/sykkuno/stream/34145033296","206","135","183","119","34","922","263","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"113","Wednesday 15th May 2019 21:53","https://sullygnome.com/channel/sykkuno/stream/34132285872","306","118","176","37","7","767","115","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"114","Friday 10th May 2019 23:00","https://sullygnome.com/channel/sykkuno/stream/34066111632","390","126","151","41","6","866","121","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"115","Thursday 9th May 2019 22:15","https://sullygnome.com/channel/sykkuno/stream/34052999888","345","109","243","27","4","771","128","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
