"","Game","Stream time","Total watch time","Average viewers","Peak viewers","Followers","Followers per hour","Views","Views per hour"
"1","Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","27525","878889840","36287","104187","928858","2024.758583","16176370","35261.841961"
"2","VALORANT|Valorant|https://static-cdn.jtvnw.net/ttv-boxart/VALORANT-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","24960","370346430","14767","51720","183852","441.951923","6855601","16479.810096"
"3","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","16215","239070330","15014","70838","239269","885.361702","4581734","16953.687326"
"4","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","8055","64230270","8722","48905","174715","1301.41527","3906098","29095.702048"
"5","Animal Crossing: New Horizons|animal_Crossing|https://static-cdn.jtvnw.net/ttv-boxart/./Animal%20Crossing:%20New%20Horizons-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","4995","8533920","1708","5357","10278","123.459459","194357","2334.618618"
"6","Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","4695","224379000","46267","89827","148546","1898.351437","3606568","46090.325878"
"7","League of Legends|League_of_Legends|https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1995","9828450","4994","14333","5231","157.323308","172697","5193.894736"
"8","Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1425","58222095","40010","49162","22233","936.126315","907978","38230.652631"
"9","Phasmophobia|Phasmophobia|https://static-cdn.jtvnw.net/ttv-boxart/Phasmophobia-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","990","25324605","25877","52361","23752","1439.515151","445262","26985.575757"
"10","Raft|Raft|https://static-cdn.jtvnw.net/ttv-boxart/Raft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","945","41420625","42611","59054","32596","2069.587301","669801","42527.047619"
"11","SCP: Secret Laboratory|SCP_Secret_Laboratory|https://static-cdn.jtvnw.net/ttv-boxart/./SCP:%20Secret%20Laboratory-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","855","11731245","15775","35272","8633","605.824561","230787","16195.578947"
"12","Genshin Impact|Genshin_Impact|https://static-cdn.jtvnw.net/ttv-boxart/Genshin%20Impact-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","720","11707425","14853","34344","16832","1402.666666","253544","21128.666666"
"13","Call of Duty: Warzone|Call_of_Duty_Modern_Warfare|https://static-cdn.jtvnw.net/ttv-boxart/./Call%20of%20Duty:%20Warzone-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","510","402900","786","953","331","38.941176","11356","1336"
"14","Fall Guys: Ultimate Knockout|Fall_Guys|https://static-cdn.jtvnw.net/ttv-boxart/./Fall%20Guys:%20Ultimate%20Knockout-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","495","3929985","7668","13996","1467","177.818181","72289","8762.30303"
"15","The Forest|The_Forest|https://static-cdn.jtvnw.net/ttv-boxart/The%20Forest-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","450","1971765","4325","7472","1610","214.666666","52702","7026.933333"
"16","Teamfight Tactics|Teamfight_Tactics|https://static-cdn.jtvnw.net/ttv-boxart/Teamfight%20Tactics-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","420","4255095","9971","19281","2019","288.428571","75177","10739.571428"
"17","Human: Fall Flat|Human_Fall_Flat|https://static-cdn.jtvnw.net/ttv-boxart/./Human:%20Fall%20Flat-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","375","1166655","3141","4183","1602","256.32","36530","5844.8"
"18","ARK: Survival Evolved|ARK|https://static-cdn.jtvnw.net/ttv-boxart/./ARK:%20Survival%20Evolved-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","330","1820550","5516","7482","740","134.545454","20217","3675.818181"
"19","UNO|Uno|https://static-cdn.jtvnw.net/ttv-boxart/UNO-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","330","15666840","47870","56222","4865","884.545454","220067","40012.181818"
"20","Valheim|Valheim|https://static-cdn.jtvnw.net/ttv-boxart/Valheim-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","300","8704995","26078","37383","4341","868.2","180022","36004.4"
"21","Spellbreak|Spellbreak|https://static-cdn.jtvnw.net/ttv-boxart/Spellbreak-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","270","6051990","20804","31339","5651","1255.777777","115694","25709.777777"
"22","Project Winter|Project_Winter|https://static-cdn.jtvnw.net/ttv-boxart/Project%20Winter-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","270","10599780","39258","43297","7422","1649.333333","256580","57017.777777"
"23","Pummel Party|Pummel_Party|https://static-cdn.jtvnw.net/ttv-boxart/Pummel%20Party-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","240","4100190","14393","22935","2345","586.25","73325","18331.25"
"24","Garry's Mod|Garrys_Mod|https://static-cdn.jtvnw.net/ttv-boxart/Garry%27s%20Mod-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","210","1859460","8854","9714","661","188.857142","37442","10697.714285"
"25","Jackbox Party Packs|The_Jackbox_Party_Pack_3|https://static-cdn.jtvnw.net/ttv-boxart/Jackbox%20Party%20Packs-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","210","4408035","16221","48126","2606","744.571428","84186","24053.142857"
"26","Portal 2|Portal_2|https://static-cdn.jtvnw.net/ttv-boxart/Portal%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","195","1538745","7891","8557","566","174.153846","18042","5551.384615"
"27","Terraria|Terraria|https://static-cdn.jtvnw.net/ttv-boxart/Terraria-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","180","3716250","18964","29773","2036","678.666666","76021","25340.333333"
"28","Stardew Valley|Stardew_Valley|https://static-cdn.jtvnw.net/ttv-boxart/Stardew%20Valley-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","180","5409120","30050","31132","2343","781","117128","39042.666666"
"29","Sea of Thieves|Sea_of_Thieves|https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","165","751095","4552","5309","394","143.272727","19765","7187.272727"
"30","Don't Starve Together|Dont_Starve_Together|https://static-cdn.jtvnw.net/ttv-boxart/Don%27t%20Starve%20Together-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","165","7598010","46181","55526","6822","2480.727272","232521","84553.090909"
