"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Thursday 28th January 2021 20:35","https://sullygnome.com/channel/tommyinnit/stream/40904629596","69","223492","264675","6727","5381","265851","139656","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"2","Tuesday 26th January 2021 21:06","https://sullygnome.com/channel/tommyinnit/stream/40882084684","53","277326","287948","3668","4890","187701","250268","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"3","Monday 25th January 2021 21:13","https://sullygnome.com/channel/tommyinnit/stream/40871393404","121","247953","271018","13100","6550","307261","153630","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"4","Sunday 24th January 2021 20:28","https://sullygnome.com/channel/tommyinnit/stream/40860567452","121","273396","309976","13470","6735","595731","238722","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"5","Saturday 23rd January 2021 20:14","https://sullygnome.com/channel/tommyinnit/stream/40846439932","120","238307","253760","13990","6995","394016","121929","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"6","Friday 22nd January 2021 20:34","https://sullygnome.com/channel/tommyinnit/stream/40832941756","70","235956","267361","8424","6739","324591","164052","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"7","Thursday 21st January 2021 22:08","https://sullygnome.com/channel/tommyinnit/stream/40822472540","66","377708","469020","11760","9408","305995","155819","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"8","Wednesday 20th January 2021 19:26","https://sullygnome.com/channel/tommyinnit/stream/40809505164","93","488500","650237","28159","16090","691104","394916","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"9","Tuesday 19th January 2021 19:12","https://sullygnome.com/channel/tommyinnit/stream/40798286380","77","200815","244026","13959","9306","241635","161090","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"10","Saturday 16th January 2021 20:47","https://sullygnome.com/channel/tommyinnit/stream/40765919756","72","232779","256815","10676","8540","310603","184677","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"11","Tuesday 12th January 2021 19:10","https://sullygnome.com/channel/tommyinnit/stream/40719304844","64","215428","245549","10470","8376","276147","220917","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"12","Thursday 7th January 2021 20:33","https://sullygnome.com/channel/tommyinnit/stream/40657046236","71","165880","221836","4499","3599","195727","72964","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"13","Wednesday 6th January 2021 19:17","https://sullygnome.com/channel/tommyinnit/stream/40642269836","72","375430","424048","16609","13287","737759","273848","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"14","Tuesday 5th January 2021 20:18","https://sullygnome.com/channel/tommyinnit/stream/40629793884","71","288760","331846","15114","12091","400908","171656","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"15","Monday 4th January 2021 20:38","https://sullygnome.com/channel/tommyinnit/stream/40616874844","51","172407","195707","8442","8442","190091","112533","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"16","Sunday 3rd January 2021 19:17","https://sullygnome.com/channel/tommyinnit/stream/40602387532","102","120974","137870","11835","6762","284228","143701","Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
