"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"201","Friday 10th April 2020 20:06","https://sullygnome.com/channel/tommyinnit/stream/37469455968","83","817","942","92","61","1993","960","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"202","Thursday 9th April 2020 20:05","https://sullygnome.com/channel/tommyinnit/stream/1146417633","99","1153","1317","138","78","2859","1387","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"203","Wednesday 8th April 2020 20:03","https://sullygnome.com/channel/tommyinnit/stream/1133051505","71","972","1104","88","70","2258","1268","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"204","Tuesday 7th April 2020 19:57","https://sullygnome.com/channel/tommyinnit/stream/1120488513","77","1094","1163","94","75","2556","1444","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"205","Monday 6th April 2020 20:15","https://sullygnome.com/channel/tommyinnit/stream/1108297841","90","1013","1112","127","72","2421","1383","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"206","Sunday 5th April 2020 20:04","https://sullygnome.com/channel/tommyinnit/stream/1096208849","100","1172","1253","142","81","2683","1137","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"207","Saturday 4th April 2020 20:26","https://sullygnome.com/channel/tommyinnit/stream/1083603265","78","747","852","83","55","2059","1207","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"208","Friday 3rd April 2020 20:07","https://sullygnome.com/channel/tommyinnit/stream/1070209953","67","804","899","127","101","2346","1319","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"209","Thursday 2nd April 2020 20:15","https://sullygnome.com/channel/tommyinnit/stream/1057369857","90","843","907","207","118","2518","1438","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"210","Wednesday 1st April 2020 19:56","https://sullygnome.com/channel/tommyinnit/stream/1044846113","63","932","1034","107","85","1780","1424","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"211","Tuesday 31st March 2020 19:54","https://sullygnome.com/channel/tommyinnit/stream/1032756017","110","695","824","138","69","2620","1046","Minecraft Dungeons|Minecraft_Dungeons|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft%20Dungeons-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"212","Monday 30th March 2020 20:12","https://sullygnome.com/channel/tommyinnit/stream/1021754273","107","845","1054","148","74","2453","1032","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"213","Sunday 29th March 2020 20:01","https://sullygnome.com/channel/tommyinnit/stream/1010409793","133","824","946","448","199","3001","1242","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"214","Saturday 28th March 2020 21:03","https://sullygnome.com/channel/tommyinnit/stream/998369953","56","674","732","59","59","1451","567","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"215","Friday 27th March 2020 21:00","https://sullygnome.com/channel/tommyinnit/stream/985761825","119","989","1170","189","94","3680","1327","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"216","Thursday 26th March 2020 21:03","https://sullygnome.com/channel/tommyinnit/stream/973956353","101","674","732","114","65","2015","889","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"217","Wednesday 25th March 2020 22:00","https://sullygnome.com/channel/tommyinnit/stream/962545585","45","687","713","43","43","1182","793","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"218","Tuesday 24th March 2020 21:23","https://sullygnome.com/channel/tommyinnit/stream/950259905","96","1041","1145","272","155","2809","1415","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"219","Monday 23rd March 2020 21:37","https://sullygnome.com/channel/tommyinnit/stream/938445057","127","736","818","127","56","2346","875","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"220","Sunday 22nd March 2020 21:15","https://sullygnome.com/channel/tommyinnit/stream/927011857","75","709","828","137","91","2345","1079","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
