"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Sunday 31st January 2021 19:22","https://sullygnome.com/channel/tubbo/stream/40944187148","172","80592","100569","10016","3338","261004","74176","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"2","Saturday 30th January 2021 18:45","https://sullygnome.com/channel/tubbo/stream/40929348188","269","62477","103139","14172","3149","421014","86812","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"3","Friday 29th January 2021 19:34","https://sullygnome.com/channel/tubbo/stream/40915706572","235","56097","89678","11819","2954","297412","74353","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"4","Thursday 28th January 2021 18:15","https://sullygnome.com/channel/tubbo/stream/40902240908","119","117323","126807","8589","4294","220345","110172","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"5","Wednesday 27th January 2021 19:49","https://sullygnome.com/channel/tubbo/stream/40892280860","116","92460","112528","8732","4366","252685","89044","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"6","Tuesday 26th January 2021 20:33","https://sullygnome.com/channel/tubbo/stream/40881652988","116","141390","203070","12119","6059","273507","136753","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"7","Monday 25th January 2021 18:00","https://sullygnome.com/channel/tubbo/stream/40868611196","179","83313","88914","13119","4373","278995","72146","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"8","Sunday 24th January 2021 19:56","https://sullygnome.com/channel/tubbo/stream/40860090924","153","34997","50960","7689","2796","168191","61160","Chess|Chess|https://static-cdn.jtvnw.net/ttv-boxart/Chess-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"9","Saturday 23rd January 2021 22:19","https://sullygnome.com/channel/tubbo/stream/40848575196","115","73132","102843","7704","4402","217039","89951","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"10","Friday 22nd January 2021 20:36","https://sullygnome.com/channel/tubbo/stream/40832976876","128","26429","38008","8080","3591","142741","44585","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"11","Thursday 21st January 2021 20:01","https://sullygnome.com/channel/tubbo/stream/40820790348","133","94954","119779","10542","4685","242523","94934","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"12","Wednesday 20th January 2021 19:20","https://sullygnome.com/channel/tubbo/stream/40809415468","114","175804","267995","25678","12839","439392","219696","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"13","Tuesday 19th January 2021 20:29","https://sullygnome.com/channel/tubbo/stream/40799426444","165","67413","96402","10397","3780","184203","66982","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"14","Monday 18th January 2021 21:34","https://sullygnome.com/channel/tubbo/stream/40789788316","355","48163","81333","18093","3015","311819","51969","Super Mario Maker 2|Super_Mario_Maker_2|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20Maker%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"15","Sunday 17th January 2021 20:58","https://sullygnome.com/channel/tubbo/stream/40779001260","151","57880","93721","7467","2986","170364","61989","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Chess|Chess|https://static-cdn.jtvnw.net/ttv-boxart/Chess-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"16","Saturday 16th January 2021 18:59","https://sullygnome.com/channel/tubbo/stream/40764240892","120","50655","59577","5816","2908","183272","77015","Chess|Chess|https://static-cdn.jtvnw.net/ttv-boxart/Chess-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Kerbal Space Program|Kerbal_Space_Program|https://static-cdn.jtvnw.net/ttv-boxart/Kerbal%20Space%20Program-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"17","Friday 15th January 2021 20:40","https://sullygnome.com/channel/tubbo/stream/40752716092","124","55144","70726","6359","2826","136691","60751","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Chess|Chess|https://static-cdn.jtvnw.net/ttv-boxart/Chess-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"18","Thursday 14th January 2021 19:41","https://sullygnome.com/channel/tubbo/stream/40740858716","498","27798","53624","20261","2383","316202","37200","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Chess|Chess|https://static-cdn.jtvnw.net/ttv-boxart/Chess-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
