"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 28th December 2020 17:05","https://sullygnome.com/channel/wilbursoot/stream/40519457660","129","57481","78598","15435","6860","176387","66656","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"2","Thursday 24th December 2020 19:38","https://sullygnome.com/channel/wilbursoot/stream/40471480860","126","61593","77962","12627","5612","145622","57466","GeoGuessr|GeoGuessr|https://static-cdn.jtvnw.net/ttv-boxart/GeoGuessr-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"3","Monday 21st December 2020 00:50","https://sullygnome.com/channel/wilbursoot/stream/40426917004","69","56833","66297","7494","5995","104359","42502","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"4","Monday 14th December 2020 20:20","https://sullygnome.com/channel/wilbursoot/stream/40354356892","174","26930","51374","11890","3963","134548","41068","Rocket League|Rocket_League|https://static-cdn.jtvnw.net/ttv-boxart/Rocket%20League-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"5","Sunday 13th December 2020 21:40","https://sullygnome.com/channel/wilbursoot/stream/40345119340","49","73628","122073","15004","15004","115311","115311","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"6","Saturday 12th December 2020 21:45","https://sullygnome.com/channel/wilbursoot/stream/40331670028","60","51740","59864","5692","4553","193075","112466","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"7","Saturday 12th December 2020 19:55","https://sullygnome.com/channel/wilbursoot/stream/40330324988","64","50915","66012","8520","6816","193477","154781","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"8","Thursday 3rd December 2020 19:54","https://sullygnome.com/channel/wilbursoot/stream/40222249036","80","66477","88253","8671","5780","102098","47141","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"9","Monday 30th November 2020 21:30","https://sullygnome.com/channel/wilbursoot/stream/40190235500","59","61218","64266","3698","3698","71810","40129","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"10","Wednesday 25th November 2020 20:58","https://sullygnome.com/channel/wilbursoot/stream/40130679196","76","52040","66500","4811","3207","65034","43356","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
