"","Game","Stream time","Total watch time","Average viewers","Peak viewers","Followers","Followers per hour","Views","Views per hour"
"1","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","5865","177203700","33882","206579","271950","2782.097186","3144496","32168.757033"
"2","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2220","71579820","34186","166877","100864","2726.054054","1117442","30201.135135"
"3","Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","1200","34487640","29780","51303","53365","2668.25","645081","32254.05"
"4","Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","615","40204755","61638","117777","52771","5148.390243","621574","60641.365853"
"5","GeoGuessr|GeoGuessr|https://static-cdn.jtvnw.net/ttv-boxart/GeoGuessr-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","435","13003260","29107","86848","18835","2597.931034","197676","27265.655172"
"6","Phasmophobia|Phasmophobia|https://static-cdn.jtvnw.net/ttv-boxart/Phasmophobia-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","255","19160295","75867","97400","27557","6484","345054","81189.17647"
"7","Monopoly Plus|Monopoly_Plus|https://static-cdn.jtvnw.net/ttv-boxart/Monopoly%20Plus-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","195","1769160","9072","9569","2947","906.76923","33254","10232"
"8","Ooblets|ooblets|https://static-cdn.jtvnw.net/ttv-boxart/Ooblets-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","195","1916340","9827","13338","4075","1253.846153","39231","12071.076923"
"9","Rocket League|Rocket_League|https://static-cdn.jtvnw.net/ttv-boxart/Rocket%20League-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","180","4847640","26931","51374","11890","3963.333333","123204","41068"
"10","Surgeon Simulator 2|Surgeon_Simulator_2|https://static-cdn.jtvnw.net/ttv-boxart/Surgeon%20Simulator%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","150","2995260","19968","23152","6937","2774.8","52334","20933.6"
"11","Ultimate Chicken Horse|Ultimate_Chicken_Horse|https://static-cdn.jtvnw.net/ttv-boxart/Ultimate%20Chicken%20Horse-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","135","1468245","10875","16587","3906","1736","39716","17651.555555"
"12","Raft|Raft|https://static-cdn.jtvnw.net/ttv-boxart/Raft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","105","1169385","11137","14108","2141","1223.428571","26449","15113.714285"
"13","UNO|Uno|https://static-cdn.jtvnw.net/ttv-boxart/UNO-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","75","598740","7983","9182","1295","1036","8751","7000.8"
"14","Unlisted on Twitch|Unlisted_On_Twitch|https://static-cdn.jtvnw.net/ttv-boxart/404_boxart.png?imenable=1&impolicy=user-profile-picture&imwidth=100","30","179385","5979","6018","487","974","12297","24594"
"15","Duck Game|Duck_Game|https://static-cdn.jtvnw.net/ttv-boxart/Duck%20Game-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","15","295920","19728","19728","0","0","7862","31448"
